# Sheet: Sheet1
Typhoon Name,Year,Region,Province,City/Municipality,Families,Person,Brgy,Dead,Injured/Ill,Missing,Totally,Partially,Total,Quantity,Cost,Assistance_Type_Normalized,Category
KRISTINE-LEON,2024,1,Pangasinan,AGNO,6052,23416,17,,,,99,2600,2699,6073,2013875.79,"['FAMILY FOOD PACK', 'KITCHEN KIT', 'VARIOUS']","['FAMILY FOOD PACK', 'KITCHEN KIT', 'OTHERS']"
FABIAN,2021,1,La Union,AGOO,626,2504,14,,,,1,1,2,,,,
KRISTINE-LEON,2024,1,La Union,AGOO,53,166,15,,,,0,32,32,0,16000,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,AGUILAR,3,22,2,,,,0,3,3,0,170322,,
HENRY,2022,1,Pangasinan,ALAMINOS,61,222,6,,,,,,,,,,
KRISTINE-LEON,2024,1,Pangasinan,ALAMINOS,3799,18995,39,,,,,,,5345,4974971.55,"['BOTTLED WATER', 'FAMILY FOOD PACK', 'FAMILY KIT', 'HYGIENE KIT', 'KITCHEN KIT', 'LAMINATED SACK', 'SLEEPING KIT', 'VARIOUS']","['FAMILY FOOD PACK', 'HYGIENE KIT', 'KITCHEN KIT', 'OTHERS', 'SLEEPING KIT']"
KRISTINE-LEON,2024,1,Pangasinan,ALCALA,5,8,2,,,,1,0,1,,,,
KRISTINE-LEON,2024,1,Pangasinan,ANDA,1016,3242,11,,,,33,325,358,1176,939153.6,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,1,La Union,ARINGAY,48,131,9,,,,0,12,12,0,262675,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,ASINGAN,133,665,1,,,,,,,0,49000,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Norte,BACARRA,28,90,5,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,BACARRA,478,1831,14,,,,,,,0,215854,['VARIOUS'],['OTHERS']
FABIAN,2021,1,La Union,BACNOTAN,16,59,6,,,,,,,,,,
HENRY,2022,1,La Union,BACNOTAN,8,34,3,,,,,,,,,,
KRISTINE-LEON,2024,1,La Union,BACNOTAN,1084,2435,40,,,,0,176,176,700,604000,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Ilocos Norte,BADOC,5,18,1,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,BADOC,777,3107,9,,,,0,3,3,775,540301.5,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,La Union,BAGULIN,3,12,2,,,,0,3,3,,,,
FABIAN,2021,1,La Union,BALAOAN,2,7,1,,,,0,2,2,,,,
KRISTINE-LEON,2024,1,La Union,BALAOAN,109,392,21,,,,0,75,75,100,98805,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
HENRY,2022,1,La Union,BANGA,3,13,2,,,,,,,0,1000,['HOT MEAL'],['READY TO EAT FOOD']
KRISTINE-LEON,2024,1,La Union,BANGA,580,1664,17,,,,0,28,28,522,722035,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Ilocos Norte,BANGUI,95,348,2,,,,,,,0,4204.8,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Norte,BANGUI,612,2328,9,,,,1,7,8,470,388643.2,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,Pangasinan,BANI,3010,11205,27,,,,51,1678,1729,1000,1349161,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Ilocos Norte,BANNA,4,19,2,,,,,,,0,2280,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Norte,BANNA,31,96,3,,,,,,,0,4140,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,BANTAY,455,2171,5,,,,1,0,1,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,BANTAY,9,35,1,,,,,,,0,24130,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,BASISTA,1264,4527,12,,,,0,9,9,,,,
GORING-HANNA-INENG,2023,1,Ilocos Norte,BATAC,678,2378,34,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,BATAC,19,65,6,,,,,,,0,12800,['VARIOUS'],['OTHERS']
FABIAN,2021,1,La Union,BAUANG,554,1838,9,,,,2,0,2,,,,
HENRY,2022,1,La Union,BAUANG,20,56,2,,,,,,,0,17000,['FAMILY KIT'],['OTHERS']
KRISTINE-LEON,2024,1,La Union,BAUANG,315,999,25,,,,5,32,37,700,746851,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,Pangasinan,BINMALEY,19628,61753,27,,,,,,,1000,677461,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,Pangasinan,BOLINAO,6577,26175,30,,,,0,68,68,6577,4817209.92,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
FABIAN,2021,1,La Union,BURGOS,9,33,4,,,,0,4,4,,,,
HENRY,2022,1,Ilocos Sur,BURGOS,75,255,1,,,,,,,0,19099,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,1,Ilocos Norte,BURGOS,406,1634,9,,,,0,4,4,404,285410,"['FAMILY FOOD PACK', 'FAMILY KIT', 'HYGIENE KIT', 'KITCHEN KIT', 'SLEEPING KIT']","['FAMILY FOOD PACK', 'HYGIENE KIT', 'KITCHEN KIT', 'OTHERS', 'SLEEPING KIT']"
KRISTINE-LEON,2024,1,Ilocos Sur,BURGOS,56,111,1,,,,,,,0,85680,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,La Union,BURGOS,14,51,6,,,,0,2,2,0,7000,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,BURGOS,968,3177,14,,,,5,255,260,618,850758.9,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
FABIAN,2021,1,La Union,CABA,101,560,7,,,,3,89,92,,,,
GORING-HANNA-INENG,2023,1,La Union,CABA,7,25,4,,,,1,6,7,,,,
KRISTINE-LEON,2024,1,La Union,CABA,5787,19062,17,,,,6,39,45,0,184800,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,CABUGAO,268,961,13,,,,,,,,,,
HENRY,2022,1,Ilocos Sur,CABUGAO,26,130,5,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,CABUGAO,1,4,1,,,,,,,0,438,['VARIOUS'],['OTHERS']
FABIAN,2021,1,Pangasinan,CALASIAO,370,1715,2,,,,,,,,,,
KRISTINE-LEON,2024,1,Pangasinan,CALASIAO,1569,5845,8,,,,1,18,19,0,9000,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,CANDON,15,63,1,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,CANDON,2,10,1,,,,,,,0,700,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,CAOAYAN,1,5,1,,,,,,,,,,
HENRY,2022,1,Ilocos Sur,CAOAYAN,15,59,1,,,,,,,,,,
HENRY,2022,1,Ilocos Norte,CARASI,1,4,1,1,0,0,,,,0,5400,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,1,Ilocos Sur,CERVANTES,566,2830,13,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Norte,CURRIMAO,301,1131,17,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,CURRIMAO,538,2153,14,,,,0,2,2,535,374149.1,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
FABIAN,2021,1,Dagupan,DAGUPAN,10,28,1,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Dagupan,DAGUPAN,13,46,1,,,,,,,0,2500,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Dagupan,DAGUPAN,38918,147653,31,,,,,,,35000,22826847.73,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,Pangasinan,DASOL,875,3063,18,,,,6,419,425,0,386000,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Norte,DINGRAS,67,84,4,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Norte,DUMALNEG,884,3434,4,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,DUMALNEG,931,3031,4,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,GALIMUYOD,8,19,2,,,,,,,0,4904,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,INFANTA,2605,7640,8,,,,0,24,24,2600,1892148,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
GORING-HANNA-INENG,2023,1,Pangasinan,LABRADOR,118,499,4,,,,,,,,,,
KRISTINE-LEON,2024,1,Pangasinan,LABRADOR,5967,20661,10,,,,1,34,35,0,3500,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Norte,LAOAG,2288,8081,52,,,,1,7,8,0,10800,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Norte,LAOAG,886,3423,11,,,,,,,800,663491,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
FABIAN,2021,1,Pangasinan,LINGAYEN,101,646,2,,,,,,,,,,
KRISTINE-LEON,2024,1,Pangasinan,LINGAYEN,14407,54431,32,,,,2,32,34,4380,2999822,"['FAMILY FOOD PACK', 'FAMILY KIT', 'SLEEPING KIT', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS', 'SLEEPING KIT']"
FABIAN,2021,1,La Union,LUNA,1403,4485,20,,,,0,34,34,,,,
KRISTINE-LEON,2024,1,La Union,LUNA,667,2269,30,,,,1,219,220,436,447637.8,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Pangasinan,MABINI,13,54,2,,,,0,1,1,,,,
KRISTINE-LEON,2024,1,Pangasinan,MABINI,818,3845,16,,,,11,807,818,809,572587.28,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
GORING-HANNA-INENG,2023,1,Ilocos Sur,MAGSINGAL,18,69,3,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,MAGSINGAL,4,11,2,,,,0,4,4,,,,
KRISTINE-LEON,2024,1,Pangasinan,MANAOAG,5,22,1,,,,,,,0,5000,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,MANGATAREM,2413,7821,13,,,,0,5,5,,,,
KRISTINE-LEON,2024,1,Pangasinan,MAPANDAN,73,365,3,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Norte,MARCOS,41,168,3,,,,,,,,,,
FABIAN,2021,1,La Union,NAGUILIAN,1,6,1,,,,,,,,,,
GORING-HANNA-INENG,2023,1,La Union,NAGUILIAN,104,353,9,,,,4,13,17,,,,
KRISTINE-LEON,2024,1,La Union,NAGUILIAN,26,97,16,,,,1,25,26,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,NARVACAN,5056,16401,30,,,,13,0,13,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,NARVACAN,17,52,6,,,,,,,14,10444.7,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
FABIAN,2021,1,Pangasinan,NATIVIDAD,8,40,1,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,NO BREAKDOWN,,,,,,,,,,0,4925000,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Norte,NO BREAKDOWN,,,,,,,,,,583,405919.58,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,1,Ilocos Sur,NO BREAKDOWN,,,,,,,,,,1701,2928739.72,"['FAMILY FOOD PACK', 'FAMILY KIT', 'KITCHEN KIT']","['FAMILY FOOD PACK', 'KITCHEN KIT', 'OTHERS']"
KRISTINE-LEON,2024,1,La Union,NO BREAKDOWN,,,,,,,,,,6686,10243312.95,"['FAMILY FOOD PACK', 'FAMILY KIT', 'SLEEPING KIT']","['FAMILY FOOD PACK', 'OTHERS', 'SLEEPING KIT']"
KRISTINE-LEON,2024,1,Pangasinan,NO BREAKDOWN,,,,,,,,,,51215,33127424.26,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
GORING-HANNA-INENG,2023,1,Ilocos Norte,PAGUDPUD,84,413,2,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,PAGUDPUD,970,3587,13,,,,0,37,37,0,75406.2,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Norte,PAOAY,1316,4279,18,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,PAOAY,556,2224,8,,,,0,5,5,59,41079.34,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
GORING-HANNA-INENG,2023,1,Ilocos Norte,PASUQUIN,279,1086,8,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,PASUQUIN,664,2624,17,,,,2,27,29,662,460924.12,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
GORING-HANNA-INENG,2023,1,Ilocos Norte,PIDDIG,872,3102,20,,,,0,1,1,,,,
GORING-HANNA-INENG,2023,1,Ilocos Norte,PINILI,117,450,13,,,,,,,,,,
HENRY,2022,1,Ilocos Norte,PINILI,17,82,6,,,,,,,0,17340,['FAMILY KIT'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Norte,PINILI,7,25,2,,,,,,,0,6020,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,La Union,PUGO,3,10,3,,,,0,1,1,0,1500,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Sur,QUIRINO,1253,4621,6,,,,,,,1254,2446946.7,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,La Union,ROSARIO,85,323,5,,,,3,0,3,0,57960,['VARIOUS'],['OTHERS']
FABIAN,2021,1,Pangasinan,SAN FABIAN,890,3571,4,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Pangasinan,SAN FABIAN,540,2058,4,,,,0,7,7,,,,
KRISTINE-LEON,2024,1,Pangasinan,SAN FABIAN,13275,64826,27,,,,32,155,187,2657,1456739.62,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,La Union,SAN FERNANDO,6,33,2,,,,1,2,3,0,3910.2,['VARIOUS'],['OTHERS']
HENRY,2022,1,La Union,SAN FERNANDO,5,18,2,,,,,,,0,5295,['HOT MEAL'],['READY TO EAT FOOD']
KRISTINE-LEON,2024,1,La Union,SAN FERNANDO,247,782,23,,,,0,30,30,245,543806.54,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
FABIAN,2021,1,La Union,SAN GABRIEL,737,2669,6,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,SAN ILDEFONSO,68,230,9,,,,,,,,,,
KRISTINE-LEON,2024,1,Pangasinan,SAN JACINTO,1401,5325,8,,,,0,7,7,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,SAN JUAN CITY,14,46,2,,,,,,,,,,
HENRY,2022,1,Ilocos Sur,SAN JUAN CITY,25,88,1,,,,,,,,,,
KRISTINE-LEON,2024,1,La Union,SAN JUAN CITY,605,2401,39,,,,0,605,605,605,351390.15,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Ilocos Norte,SAN NICOLAS,867,3406,21,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,SAN NICOLAS,321,1262,4,,,,,,,0,112116,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,SAN VICENTE,214,770,7,,,,0,2,2,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,SAN VICENTE,11,26,2,,,,0,1,1,0,27320,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,SANTA,325,1197,9,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,SANTA,4,12,1,,,,,,,,,,
FABIAN,2021,1,Pangasinan,SANTA BARBARA,1390,6950,2,,,,,,,,,,
KRISTINE-LEON,2024,1,Pangasinan,SANTA BARBARA,2153,8612,19,,,,,,,1800,1044630,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,1,Ilocos Sur,SANTA CATALINA,54,151,4,,,,0,7,7,0,39520,['VARIOUS'],['OTHERS']
FABIAN,2021,1,Ilocos Sur,SANTA LUCIA,,,,,,,,,,0,135,['FINANCIAL'],['FINANCIAL / SOCIAL ASSISTANCE']
KRISTINE-LEON,2024,1,Ilocos Sur,SANTA LUCIA,8,24,1,,,,,,,8,33968.4,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
FABIAN,2021,1,Ilocos Sur,SANTA MARIA,,,,1,0,0,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,SANTA MARIA,1,6,1,,,,1,0,1,,,,
KRISTINE-LEON,2024,1,Pangasinan,SANTA MARIA,20,71,2,,,,,,,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,SANTIAGO CITY,39,134,5,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,SANTIAGO CITY,10,26,2,,,,,,,0,35450,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,SANTO DOMINGO,402,1919,9,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,SANTO DOMINGO,1,3,1,,,,0,1,1,0,5425.25,['VARIOUS'],['OTHERS']
FABIAN,2021,1,La Union,SANTO TOMAS,28,110,4,,,,,,,,,,
KRISTINE-LEON,2024,1,La Union,SANTO TOMAS,1480,6390,10,,,,0,10,10,600,482630,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Ilocos Norte,SARRAT,257,834,9,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,SARRAT,6,25,2,,,,0,1,1,0,1500,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Sur,SIGAY,1,4,1,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Sur,SIGAY,8,32,3,,,,0,1,1,8,11568.4,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
GORING-HANNA-INENG,2023,1,Ilocos Sur,SINAIT,65,255,11,,,,1,0,1,,,,
GORING-HANNA-INENG,2023,1,Ilocos Norte,SOLSONA,565,2087,13,,,,,,,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,SOLSONA,2,11,2,,,,,,,0,1500,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,SUAL,239,941,10,,,,3,18,21,239,385453.65,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,La Union,SUDIPEN,550,1903,17,,,,,,,,,,
FABIAN,2021,1,Ilocos Sur,SUGPON,,,,,,,,,,0,14400,['FINANCIAL'],['FINANCIAL / SOCIAL ASSISTANCE']
KRISTINE-LEON,2024,1,Ilocos Sur,SUGPON,16,52,3,,,,,,,16,65796.8,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,Ilocos Sur,SUYO,15,43,1,,,,,,,15,66405.5,"['FAMILY FOOD PACK', 'VARIOUS']","['FAMILY FOOD PACK', 'OTHERS']"
KRISTINE-LEON,2024,1,Ilocos Sur,TAGUDIN,226,580,13,,,,,,,0,430000,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Pangasinan,URBIZTONDO,1969,9845,21,,,,8,92,100,0,20936.38,['VARIOUS'],['OTHERS']
FABIAN,2021,1,Pangasinan,URDANETA,,,,,,,,,,0,1000,['FINANCIAL'],['FINANCIAL / SOCIAL ASSISTANCE']
KRISTINE-LEON,2024,1,Pangasinan,URDANETA,2,6,2,,,,1,0,1,,,,
GORING-HANNA-INENG,2023,1,Ilocos Sur,VIGAN,12737,51131,39,,,,52,6262,6314,0,162900,['VARIOUS'],['OTHERS']
KRISTINE-LEON,2024,1,Ilocos Sur,VIGAN,347,1189,9,,,,0,1,1,0,824784.52,['VARIOUS'],['OTHERS']
GORING-HANNA-INENG,2023,1,Ilocos Norte,VINTAR,1032,3831,27,,,,0,5,5,,,,
KRISTINE-LEON,2024,1,Ilocos Norte,VINTAR,6,24,2,,,,0,1,1,,,,
KRISTINE-LEON,2024,10,Lanao Del Norte,BACOLOD CITY,22,91,10,,,,0,22,22,2,16200,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,10,Misamis Oriental,BALINGASAG,646,2177,5,,,,3,106,109,675,728984,"['FAMILY FOOD PACK', 'HOT MEAL']","['FAMILY FOOD PACK', 'READY TO EAT FOOD']"
KRISTINE-LEON,2024,10,Lanao Del Norte,BAROY,17,59,5,,,,,,,,,,
KRISTINE-LEON,2024,10,Misamis Oriental,CAGAYAN DE ORO,,,,,,,3,32,35,,,,
KRISTINE-LEON,2024,10,Bukidnon,CAMIGUIN,12,56,6,,,,,,,,,,
KRISTINE-LEON,2024,10,Camiguin,CATARMAN,,,,,,,1,16,17,,,,
KRISTINE-LEON,2024,10,Misamis Oriental,GINGOOG CITY,153,659,28,,,,17,48,65,4,18020,['HOT MEAL'],['READY TO EAT FOOD']
KRISTINE-LEON,2024,10,Misamis Oriental,GITAGUM,,,,,,,1,0,1,,,,
KRISTINE-LEON,2024,10,Lanao Del Norte,ILIGAN,743,2979,29,0,1,0,50,693,743,1886,2111100,"['FAMILY FOOD PACK', 'FAMILY KIT', 'HOT MEAL', 'HYGIENE KIT', 'JERRY CAN', 'KITCHEN KIT', 'SHELTER REPAIR KIT', 'SLEEPING KIT', 'TARPAULIN']","['FAMILY FOOD PACK', 'HYGIENE KIT', 'KITCHEN KIT', 'OTHERS', 'READY TO EAT FOOD', 'SHELTER KIT', 'SLEEPING KIT']"
KRISTINE-LEON,2024,10,Lanao Del Norte,KAPATAGAN,8,26,7,,,,1,6,7,24,42716.72,"['BLANKET', 'FAMILY FOOD PACK', 'JERRY CAN', 'SHELTER REPAIR KIT', 'TARPAULIN']","['FAMILY FOOD PACK', 'KITCHEN KIT', 'SHELTER KIT', 'SLEEPING KIT']"
KRISTINE-LEON,2024,10,Lanao Del Norte,KAUSWAGAN,14,58,6,,,,,,,39,59708.48,"['BLANKET', 'SHELTER REPAIR KIT']","['SHELTER KIT', 'SLEEPING KIT']"
KRISTINE-LEON,2024,10,Misamis Oriental,KINOGUITAN,1167,1685,6,,,,1,110,111,1167,725874,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,10,Lanao Del Norte,KOLAMBUGAN,25,91,7,,,,5,20,25,88,153016.16,"['BLANKET', 'FAMILY FOOD PACK', 'JERRY CAN', 'SHELTER REPAIR KIT', 'TARPAULIN']","['FAMILY FOOD PACK', 'KITCHEN KIT', 'SHELTER KIT', 'SLEEPING KIT']"
KRISTINE-LEON,2024,10,Misamis Oriental,LAGONGLONG,,,,,,,2,16,18,,,,
KRISTINE-LEON,2024,10,Lanao Del Norte,LALA,8,28,4,,,,0,8,8,,,,
KRISTINE-LEON,2024,10,Misamis Occidental,LOPEZ JAENA,,,,,,,0,6,6,,,,
KRISTINE-LEON,2024,10,Lanao Del Norte,MAGSAYSAY,7,26,4,,,,2,7,9,29,61482.72,"['BLANKET', 'FAMILY FOOD PACK', 'JERRY CAN', 'SHELTER REPAIR KIT', 'TARPAULIN']","['FAMILY FOOD PACK', 'KITCHEN KIT', 'SHELTER KIT', 'SLEEPING KIT']"
KRISTINE-LEON,2024,10,Misamis Oriental,MAGSAYSAY,24,111,4,,,,0,19,19,24,26592,['FAMILY FOOD PACK'],['FAMILY FOOD PACK']
KRISTINE-LEON,2024,10,Camiguin,MAHINOG,,,,,,,0,5,5,,,,
